name,times
com.google.android.googleapps.permission.GOOGLE_AUTH.speechpersonalization,15
android.permission.BODY_SENSORS,15
android.permission.READ_SOCIAL_STREAM,15
com.google.android.googleapps.permission.GOOGLE_AUTH.androidsecure,15
com.google.android.googleapps.permission.GOOGLE_AUTH.writely,15
android.permission.WRITE_PROFILE,15
com.google.android.googleapps.permission.GOOGLE_AUTH.local,15
android.permission.CHANGE_WIMAX_STATE,15
com.google.android.googleapps.permission.GOOGLE_AUTH.wise,15
android.permission.READ_SYNC_SETTINGS,15
com.google.android.googleapps.permission.GOOGLE_AUTH.lh2,15
com.google.android.googleapps.permission.GOOGLE_AUTH.youtube,15
com.google.android.googleapps.permission.GOOGLE_AUTH.cl,15
android.permission.TRANSMIT_IR,15
com.google.android.googleapps.permission.GOOGLE_AUTH.android,15
com.google.android.googleapps.permission.GOOGLE_AUTH.finance,15
android.permission.READ_CALENDAR,15
com.google.android.googleapps.permission.GOOGLE_AUTH.groups2,15
com.google.android.googleapps.permission.GOOGLE_AUTH.cp,15
com.google.android.googleapps.permission.GOOGLE_AUTH.gbase,15
com.google.android.googleapps.permission.GOOGLE_AUTH.orkut,15
com.google.android.googleapps.permission.GOOGLE_AUTH,15
android.permission.WRITE_SYNC_SETTINGS,15
com.google.android.googleapps.permission.GOOGLE_AUTH.dodgeball,15
com.google.android.googleapps.permission.GOOGLE_AUTH.speech,15
com.google.android.googleapps.permission.GOOGLE_AUTH.adwords,15
android.permission.WRITE_USER_DICTIONARY,15
com.google.android.googleapps.permission.GOOGLE_AUTH.notebook,15
android.permission.WRITE_CALENDAR,15
com.google.android.providers.talk.permission.READ_ONLY,15
com.google.android.gms.permission.ACTIVITY_RECOGNITION,15
android.permission.SUBSCRIBED_FEEDS_WRITE,15
com.google.android.googleapps.permission.GOOGLE_AUTH.ig,15
android.permission.WRITE_SOCIAL_STREAM,15
com.google.android.launcher.permission.READ_SETTINGS,15
xvtian.gai.receiver,13
android.permission.ACCESS_SUPERUSER,12
cn.swiftpass.wxpay.permission.MMOAUTH_CALLBACK,11
cn.swiftpass.wxpay.permission.MM_MESSAGE,11
android.permission.INSTALL_PACKAGES,10
@string/0x27,9
@string/0x21,9
@string/0x19,9
@string/0x1c,9
com.android.launcher3.permission.READ_SETTINGS,9
@string/0x1e,9
@string/0x1d,9
@string/0x1f,9
com.mplugin.test.permission.C2D_MESSAGE,7
android.permission.DEVICE_POWER,7
com.htc.launcher.permission.WRITE_SETTINGS,6
com.huawei.android.launcher.permission.WRITE_SETTINGS,6
com.fede.launcher.permission.WRITE_SETTINGS,6
com.anddoes.launcher.permission.WRITE_SETTINGS,6
org.adwfreak.launcher.permission.READ_SETTINGS,6
com.android.launcher2.permission.READ_SETTINGS,6
com.android.launcher3.permission.WRITE_SETTINGS,6
com.android.launcher2.permission.WRITE_SETTINGS,6
org.adw.launcher.permission.WRITE_SETTINGS,6
com.lenovo.launcher.permission.WRITE_SETTINGS,6
org.adwfreak.launcher.permission.WRITE_SETTINGS,6
com.anddoes.launcher.permission.READ_SETTINGS,6
com.lenovo.launcher.permission.READ_SETTINGS,6
com.huawei.android.launcher.permission.READ_SETTINGS,6
com.qihoo360.launcher.permission.READ_SETTINGS,6
com.qihoo360.launcher.permission.WRITE_SETTINGS,6
com.fede.launcher.permission.READ_SETTINGS,6
org.adw.launcher.permission.READ_SETTINGS,6
ANDROID.PERMISSION.SEND_SMS,5
com.lge.launcher.permission.WRITE_SETTINGS,5
android.permission.REQUEST_INSTALL_PACKAGES,5
com.sec.android.app.twlauncher.settings.READ_SETTINGS,5
com.oppo.launcher.permission.READ_SETTINGS,5
android.permission.DIAGNOSTIC,5
com.huawei.launcher2.permission.WRITE_SETTINGS,5
com.oppo.launcher.permission.WRITE_SETTINGS,5
net.qihoo.launcher.permission.READ_SETTINGS,5
net.qihoo.launcher.permission.WRITE_SETTINGS,5
com.huawei.launcher3.permission.READ_SETTINGS,5
com.huawei.launcher3.permission.WRITE_SETTINGS,5
com.huawei.launcher2.permission.READ_SETTINGS,5
com.sec.android.app.twlauncher.settings.WRITE_SETTINGS,5
@string/0x1a,5
com.lge.launcher.permission.READ_SETTINGS,5
android.permission.STATUS_BAR,4
android.permission.BAIDU_LOCATION_SERVICE,4
com.ebproductions.android.launcher.permission.READ_SETTINGS,4
com.android.mylauncher.permission.READ_SETTINGS,4
android.permission.DISABLE_STATUS_BAR,4
getui.permission.GetuiService.com.iodkols.onekeylockscreen,4
telecom.mdesk.permission.WRITE_SETTINGS,4
android.hardware.camera,4
dianxin.permission.ACCESS_LAUNCHER_DATA,4
com.android.mylauncher.permission.WRITE_SETTINGS,4
org.adw.launcher_donut.permission.WRITE_SETTINGS,4
telecom.mdesk.permission.READ_SETTINGS,4
com.tencent.qqlauncher.permission.WRITE_SETTINGS,4
org.adw.launcher_donut.permission.READ_SETTINGS,4
com.ebproductions.android.launcher.permission.WRITE_SETTINGS,4
com.tencent.qqlauncher.permission.READ_SETTINGS,4
